model,res.subdistrict.ongkir,transient,False
8,create_date,datetime,,Created on
9,kabupaten_id,many2one,res.kabupaten,Kabupaten
10,write_date,datetime,,Last Updated on
11,state_id,many2one,res.country.state,Province
12,id,integer,,ID
,,,,
,,,,
model,dev.export,transient,False
no,field,type,relation,string
1,header_set_underline,boolean,,Underline
2,company_set_border_color,char,,Border Color
3,write_uid,many2one,res.users,Last Updated by
4,line_val_set_font_size,integer,,Text Size
5,header_set_bg_color,char,,Background Color
6,display_name,char,,Display Name
7,val_set_italic,boolean,,Italic
8,line_label_set_underline,boolean,,Underline
9,group_set_bg_color,char,,Background Color
10,ref_ir_value,many2one,ir.values,Sidebar Button
11,company_set_font_color,char,,Text Color
12,line_lable_set_bg_color,char,,Background Color
13,label_set_font_size,integer,,Text Size
14,template,selection,,Template
15,header_set_font_size,integer,,Text Size
16,line_val_set_italic,boolean,,Italic
17,header_set_font_color,char,,Text Color
18,company_set_italic,boolean,,Italic
19,name,char,,Action Name
20,group_set_italic,boolean,,Italic
21,relational_model_id,many2one,ir.model,Relational Field Model
22,is_sum,boolean,,Print Sum
23,line_label_set_bold,boolean,,Bold
24,create_date,datetime,,Created on
25,val_set_underline,boolean,,Underline
26,header_set_border,boolean,,Border
27,print_company_detail,boolean,,Print Company Detail
28,line_val_set_font_name,char,,Text Style
29,company_set_font_size,integer,,Text Size
30,ref_ir_act_window,many2one,ir.actions.act_window,Sidebar action
31,group_set_border_color,char,,Border Color
32,relational_field,many2one,ir.model.fields,Sub Model
33,val_align,selection,,Text Align
34,line_label_align,selection,,Text Align
35,val_set_font_color,char,,Text Color
36,val_set_border,boolean,,Border
37,model_id,many2one,ir.model,Applies to
38,label_set_italic,boolean,,Italic
39,line_label_set_border_color,char,,Border Color
40,company_set_font_name,char,,Text Style
41,val_set_font_name,char,,Text Style
42,active,boolean,,Active
43,val_set_bold,boolean,,Bold
44,label_set_bold,boolean,,Bold
45,line_val_set_underline,boolean,,Underline
46,val_set_font_size,integer,,Text Size
47,company_align,selection,,Text Align
48,line_val_set_border,boolean,,Border
49,sub_group_by_field_id,many2one,ir.model.fields,Sub Group By
50,line_label_set_font_color,char,,Text Color
51,lable_set_bg_color,char,,Background Color
52,label_set_font_name,char,,Text Style
53,header_set_font_name,char,,Text Style
54,line_label_set_italic,boolean,,Italic
55,relational_fields_ids,one2many,dev.relational.field,Relational Fields
56,total_font_color,char,,Total Font Color
57,create_uid,many2one,res.users,Created by
58,group_set_font_size,integer,,Text Size
59,__last_update,datetime,,Last Modified on
60,line_label_set_border,boolean,,Border
61,label_set_border,boolean,,Border
62,group_by_field_id,many2one,ir.model.fields,Group By Field
63,split_sheet,boolean,,Record per sheet
64,company_set_border,boolean,,Border
65,line_val_set_border_color,char,,Border Color
66,header_set_border_color,char,,Border Color
67,line_val_set_font_color,char,,Text Color
68,header_text,char,,Header Text
69,line_label_set_font_name,char,,Text Style
70,header_set_italic,boolean,,Italic
71,label_set_border_color,char,,Border Color
72,group_set_bold,boolean,,Bold
73,file_name,char,,Excel Sheet Name
74,line_val_set_bg_color,char,,Background Color
75,company_set_underline,boolean,,Underline
76,group_set_underline,boolean,,Underline
77,label_set_font_color,char,,Text Color
78,line_val_set_bold,boolean,,Bold
79,val_set_border_color,char,,Border Color
80,id,integer,,ID
81,group_align,selection,,Text Align
82,sub_group_set_bg_color,char,,Subgroup Background Color
83,group_set_font_color,char,,Text Color
84,company_set_bg_color,char,,Background Color
85,total_color,char,,Sum Background Color
86,company_set_bold,boolean,,Bold
87,label_align,selection,,Text Align
88,val_set_bg_color,char,,Background Color
89,header_align,selection,,Text Align
90,group_set_font_name,char,,Text Style
91,line_label_set_font_size,integer,,Text Size
92,write_date,datetime,,Last Updated on
93,label_set_underline,boolean,,Underline
94,header_set_bold,boolean,,Bold
95,line_val_align,selection,,Text Align
96,is_group_by,boolean,,Group By
97,group_set_border,boolean,,Border
98,export_fields_ids,one2many,dev.export.fields,Fields
,,,,
,,,,
model,mass.editing.wizard,transient,True
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,create_date,datetime,,Created on
3,__last_update,datetime,,Last Modified on
4,write_uid,many2one,res.users,Last Updated by
5,write_date,datetime,,Last Updated on
6,display_name,char,,Display Name
7,id,integer,,ID
,,,,
,,,,
model,mass.object,transient,False
no,field,type,relation,string
1,create_uid,many2one,res.users,Created by
2,model_id,many2one,ir.model,Model
3,display_name,char,,Display Name
4,name,char,,Name
5,__last_update,datetime,,Last Modified on
6,write_uid,many2one,res.users,Last Updated by
7,ref_ir_act_window_id,many2one,ir.actions.act_window,Sidebar action
8,field_ids,many2many,ir.model.fields,Fields
9,ref_ir_value_id,many2one,ir.values,Sidebar button
10,create_date,datetime,,Created on
11,write_date,datetime,,Last Updated on
12,model_list,char,,Model List
13,id,integer,,ID
,,,,
,,,,
model,res.city.ongkir,transient,False
no,field,type,relation,string
1,province,char,,Province
2,create_uid,many2one,res.users,Created by
3,display_name,char,,Name
4,name,char,,Name
5,zip,char,,ZIP
6,__last_update,datetime,,Last Modified on
7,city_id,char,,City Code
8,country_id,many2one,res.country,Country
9,write_uid,many2one,res.users,Last Updated by
10,create_date,datetime,,Created on
11,postal_code,char,,Postal code
12,write_date,datetime,,Last Updated on
13,state_id,many2one,res.country.state,State
14,city_name,char,,City Name
15,area_ids,many2many,area.category,Area ids
16,province_id,char,,Province id
17,type,char,,type
18,id,integer,,ID
,,,,
,,,,
model,web.dashboard,transient,False
no,field,type,relation,string
1,menu_id,many2one,ir.ui.menu,Generated Menu
2,create_date,datetime,,Created on
3,sequence,integer,,Sequence
4,iteration_model_id,many2one,ir.model,Iteration Model
5,write_uid,many2one,res.users,Last Updated by
6,tableau_server_url,char,,Tableau Server
7,id,integer,,ID
8,create_uid,many2one,res.users,Created by
9,dashboard_source,selection,,Dashboard Source
10,__last_update,datetime,,Last Modified on
11,iteration_limit,integer,,Limit
