model,product.template,transient,False
no,field,type1,relation1,string1,type2,relation2,string2,required,source
180,can_publish,,,,boolean,,Can Publish,False,version 2
181,visible_qty_configurator,,,,boolean,,Quantity visible in configurator,False,version 2
182,cost_currency_id,,,,many2one,res.currency,Cost Currency,False,version 2
183,activity_ids,,,,one2many,mail.activity,Activities,False,version 2
184,activity_exception_icon,,,,char,,Icon,False,version 2
185,visible_expense_policy,,,,boolean,,Re-Invoice Policy visible,False,version 2
186,is_published,,,,boolean,,Is Published,False,version 2
187,message_has_error,,,,boolean,,Message Delivery error,False,version 2
188,uom_name,,,,char,,Unit of Measure Name,False,version 2
189,activity_state,,,,selection,,Activity State,False,version 2
190,bom_line_ids,,,,one2many,mrp.bom.line,BoM Components,False,version 2
191,is_seo_optimized,,,,boolean,,SEO optimized,False,version 2
192,image_512,,,,binary,,Image 512,False,version 2
193,message_attachment_count,,,,integer,,Attachment Count,False,version 2
194,image_1024,,,,binary,,Image 1024,False,version 2
195,rating_avg,,,,float,,Rating Average,False,version 2
196,product_template_image_ids,,,,one2many,product.image,Extra Product Media,False,version 2
197,responsible_id,,,,many2one,res.users,Responsible,False,version 2
198,service_to_purchase,,,,boolean,,Purchase Automatically,False,version 2
199,purchased_product_qty,,,,float,,Purchased,False,version 2
200,activity_summary,,,,char,,Next Activity Summary,False,version 2
201,product_add_mode,,,,selection,,Add product mode,False,version 2
202,mrp_product_qty,,,,float,,Manufactured,False,version 2
,,,,
,,,,
